E0,omega0,cutoff_order,plateau_intensity_mean,H5_intensity,H11_intensity,H21_intensity
0.08171305323641073,0.0433414542496646,102,-11.355062434764912,-17.61726623478485,-19.81827954643337,-19.45408742340142
0.08432253198099368,0.05078168857309976,86,-11.103880651602335,-17.4533539253976,-19.675458022032338,-16.39529296501157
0.09349975088771229,0.04928029649506363,89,-11.147649117231671,-17.388704279492536,-19.570446398599305,-16.767481442929448
0.08711207040461384,0.05231969246610792,83,-11.052130295746622,-17.398061029292123,-19.56788497033988,-10.650626924561424
0.078168918105311,0.05794141409358994,74,-10.954642738676867,-17.404040022820706,-19.573635294223003,-11.062068516477138
0.06860551050460466,0.05205512637036177,84,-11.158189587229867,-17.610979595300492,-19.83742258065417,-12.191422047248931
0.08610136471273745,0.05884557874710886,73,-10.924547063199524,-17.30684061407099,-19.482533939562074,-10.804282755077068
0.09038034685819638,0.05053770747608962,86,-11.083235805018825,-17.39710801507922,-19.612446352872677,-16.458964923812523
0.08542703021469053,0.05921317392137347,73,-10.917860758862137,-17.30753004282876,-19.429527144406627,-11.214231670377751
0.05390268818571287,0.061070899386671096,71,-11.094002625962409,-17.67862567347142,-19.65599730553928,-11.630783921055226
0.07642356743758066,0.06671187151702877,63,-10.802225161789403,-17.298085914001533,-19.03410147824004,-11.650329065888036
0.05008364100850824,0.05333989510686373,81,-11.327075900067156,-17.862807233121003,-20.04696443145841,-8.778026648699374
0.050976892246079736,0.059434693501493205,73,-11.16500338190168,-17.751260123794953,-19.756926661487917,-11.530423548903443
0.07652313551906124,0.0513757731982856,84,-11.128513322889642,-17.52625128541876,-19.68638933178457,-13.86276116448859
0.08612823940275907,0.06685128421129947,66,-10.805600523582637,-17.19605883907579,-19.303143787223647,-11.069890290357623
0.09844232413666408,0.05211802667269273,83,-11.079693488402658,-17.295091526739867,-19.454897820030073,-10.645462063868042
0.05058291858233713,0.06640188113918918,64,-11.021130178287034,-17.660079048125684,-19.36908057328037,-11.837161133756785
0.05315774669649631,0.044861701352241774,98,-11.509918461883856,-17.960877209421458,-20.15545862633142,-19.23795529811428
0.0706412435388409,0.06957652011207414,63,-10.798669827751699,-17.332388252120968,-19.35048956486959,-11.517860487365299
0.09874648783491298,0.04668994077654329,95,-11.212580764760391,-17.388300397558606,-19.58398036116829,-18.146103034359328
0.06575704819103188,0.04737247790512496,93,-11.308161667155762,-17.728443635838335,-19.904039218418312,-18.100247158277725
0.08122974105345049,0.058938145428982465,73,-10.953648229962539,-17.35442465678941,-19.43580349386253,-10.839859046976933
0.08341049117251327,0.062215071738341426,69,-10.887499685376573,-17.28614780159784,-19.430834104954428,-11.292282534352418
0.06025672867150959,0.04451060719043274,98,-11.43082583064775,-17.859102008575192,-20.07643782916826,-19.383653323797738
0.09048424799090815,0.06892486293036026,60,-10.701482146548441,-17.126106848494164,-19.058101613406496,-11.686629261615916
0.05845474129249495,0.050454326675583736,86,-11.30191498078616,-17.776228176919,-19.94528737566263,-16.650990677566845
0.057521389058954736,0.05627275100116235,78,-11.157678026027183,-17.694506456362713,-19.778800239413634,-10.5782845368262
0.0995100241921931,0.06239600462853,69,-10.840954285841137,-17.128718911674238,-19.14596344205403,-11.09917115154119
0.08057842186764178,0.05884052713287198,73,-10.955959221443532,-17.364645328463084,-19.54636970814402,-10.798962690135124
0.05190168036887202,0.04288906191807077,102,-11.584471190736638,-18.020507541783605,-20.219500806627885,-19.90435590898703
0.06310520404621323,0.05403711269442255,81,-11.153276932962669,-17.649035572195437,-19.753914685133523,-8.671817583013118
0.061028126324325055,0.05053943505539441,86,-11.267051750009959,-17.73755802991295,-19.914036249746587,-16.04654827281417
0.06073330331236451,0.041203452197286834,105,-11.520582819686743,-17.918974620525717,-20.130583915175368,-20.494384851327148
0.08650499661696046,0.061877917876845205,69,-10.890254499241356,-17.2588555839372,-19.418387851939023,-11.236165149545124
0.08019584286640725,0.05153111238036307,84,-11.091173392077026,-17.484233157512993,-19.705692007318845,-13.734804152950131
0.07057451109768134,0.049667662009781476,88,-11.192902655884525,-17.627008073073654,-19.852142088281546,-17.87230460878601
0.06274558830061759,0.061870310843902744,70,-10.982290196656935,-17.53750717917282,-19.613696770011636,-11.371767736258677
0.07190606661126174,0.06920196874039694,60,-10.776358588170558,-17.319395918742106,-19.036920336801437,-11.501113616743744
0.08123947830263956,0.04275559835443201,103,-11.380850514197613,-17.634517519395555,-19.859198306006206,-20.671247754295983
0.07776071960152363,0.06816408046280403,64,-10.794789447044945,-17.26773361336126,-19.362041875814462,-11.526098045259568
0.08652697371322599,0.041722756559130124,105,-11.393622845032608,-17.60128316610328,-19.831026177786303,-20.641627115927058
0.07771681681058104,0.040352077137364384,108,-11.439790337857447,-17.723422392861988,-19.953871445702486,-21.24610816348423
0.09377944398843473,0.055536819154629824,78,-10.969565414142238,-17.2817543046576,-19.42108973160164,-8.695866186835541
0.07640097053764595,0.04414301770744768,100,-11.344379492718833,-17.660207276932177,-19.89123771308865,-19.895305687179807
0.07159799821245522,0.06843476535986341,60,-10.786910887450482,-17.331997929291127,-18.950171990096642,-11.526357819723744
0.05404513059786259,0.05100772153497784,86,-11.339562915798409,-17.834530879218487,-19.983332738477724,-15.512964681630072
0.06331968841211422,0.05997600871477838,73,-11.01392083148374,-17.555663742191538,-19.62277649261941,-11.367748833916057
0.08996461406345109,0.046929652443191874,95,-11.21130799079642,-17.464609631428115,-19.65934891503216,-18.07916194163654
0.05113649380366705,0.04508590428223026,98,-11.534307135061665,-17.990470990894966,-20.205539922910862,-19.300442123203155
0.09430738173098378,0.04718686979540129,94,-11.206559338021037,-17.419398323058818,-19.638769443910547,-18.598436794084492
0.09273872135728992,0.06449735864502552,68,-10.837764815167871,-17.161052211347375,-19.190914731135102,-10.837920976095802
0.0765580133996605,0.05255955486940594,82,-11.06612758858934,-17.507076942375562,-19.72826530198349,-10.946946146103516
0.059582999987395545,0.0666189159824044,65,-10.92966530886386,-17.51791441574787,-19.559538663986082,-11.537938713867167
0.06932486948780107,0.0692017931289042,60,-10.78572494564434,-17.351278641177842,-19.098363059891952,-11.482239239848305
0.0969904964016455,0.05066083103123653,86,-11.074206105151431,-17.33268298974036,-19.501871903978408,-15.685884908376481
0.08644122714757893,0.05090408491839881,86,-11.083978679807318,-17.428311208565034,-19.582281609869817,-14.765296165996855
0.05267054726778125,0.04632739491822209,95,-11.480735156705592,-17.941120164940365,-20.1518431065285,-19.726568379388222
0.07517289700656538,0.04801423011735096,92,-11.242620110003605,-17.600916989270033,-19.784059234262113,-17.623444379299944
0.05037038486985992,0.05969949724494443,73,-11.170264248604989,-17.758126357447924,-19.79837178561181,-11.30666363801579
0.06769609322239514,0.04684886309277275,95,-11.309129833432552,-17.7140213488977,-19.94544555908174,-18.92815081457478
0.052324541555553224,0.0665156195115528,64,-11.000181058501262,-17.633474817210942,-19.69828155987356,-11.743021105293533
0.06963240204088231,0.04651077083575064,94,-11.29472950887521,-17.694810827783286,-19.886457777931593,-18.795543885100756
0.06377358721898278,0.05990448366727905,73,-11.009678986567506,-17.5522728743012,-19.752783494090156,-11.332626712985713
0.09709073754736848,0.04389082139947685,100,-11.331089546080687,-17.45691608396821,-19.678174559334455,-19.569749906953092
0.07442089831381898,0.06168689157076627,70,-10.911309320080283,-17.390478936225602,-19.38628912524527,-11.257565749877276
0.09150515243286785,0.04048385952316178,108,-11.39119668797425,-17.578364225246318,-19.802457083507917,-20.783912764613667
0.09935255504413804,0.04167608338032509,106,-11.4208241778241,-17.481899997556184,-19.706243828350775,-20.159548543931944
0.08147884208639088,0.05804250242794928,75,-10.96525102269626,-17.36488685617419,-19.410457441812344,-11.095471491688846
0.09622743529014156,0.06840614085341373,61,-10.719952275419232,-17.078500664425977,-18.90473179113197,-11.103656104715826
0.07961197926323017,0.06699603303160957,65,-10.8115755441314,-17.259941622972693,-19.167725879590538,-11.510463690821188
0.09580531087166817,0.06814282768225573,64,-10.739643355353428,-17.08507886818849,-19.082004363885392,-11.232441002737076
0.09129073349280109,0.04548847277347901,97,-11.299036366280104,-17.479180580430242,-19.67575732844484,-18.81680682915002
0.08981508758082771,0.06263156973599035,69,-10.860003163020739,-17.215391980860918,-19.31195670354723,-10.894183617392613
0.05087297453791639,0.0678025992575218,63,-10.99590275624131,-17.64097783173761,-19.748159176884645,-11.772795916186874
0.052605341525224746,0.041157024158141486,106,-11.626945974722256,-18.045453884881745,-20.278681874763677,-21.101211788598377
0.06105782098333842,0.06326705554753483,69,-10.982766123027996,-17.540079620386216,-19.463154182700208,-11.017920509321744
0.06683697699925598,0.055224472723811986,79,-11.074784121724141,-17.58212600530107,-19.77436241509064,-8.524258594780802
0.06073769213643566,0.056912585198919556,76,-11.096205214082005,-17.636945743729033,-19.703730402657925,-11.501701796627005
0.07081793827068572,0.04602000496842797,95,-11.298992805937495,-17.690304131035525,-19.914476100605675,-18.86319845888013
